"FARMACIA";"DENOMINAZI";"CHIAVE";"INDIRIZZO";"OMOGENEA";"QUARTIERE";"CIRCOSCRIZ";"TOOLTIP";"Latitudine";"Longitudine";
"1";"S. Zeno";"6699-6B";"PIAZZA POZZA 6B,37123 Verona";"S. Zeno";"S. ZENO";"CENTRO STORICO";"1 S. Zeno";"45.4416700209399";"10.9785779615278";
"2";"Castelvecchio";"1009-1";"LARGO DON G. BOSCO 1,
37123 Verona";"S. Bernardino";"S. ZENO";"CENTRO STORICO";"2 Castelvecchio";"45.4390852674654";"10.9867946567407";
"3";"Agli Angeli";"6587-28";"CORSO PORTA NUOVA 28,
37122 Verona";"Valverde";"CITTADELLA";"CENTRO STORICO";"3 Agli Angeli";"45.4348976440337";"10.9895826890447";
"4";"Linfa";"6587-27";"CORSO PORTA NUOVA 27,
37122 Verona";"Pontiere";"CITTADELLA";"CENTRO STORICO";"4 Linfa";"45.436647177776";"10.9910711443171";
"5";"Internazionale";"1050-28";"PIAZZA BRA' 28,
37121 Verona";"Valverde";"CITTADELLA";"CENTRO STORICO";"5 Internazionale";"45.4382177628774";"10.991397704581";
"6";"S. Fermo";"7639-40";"STRADONE S. FERMO 40,
37121 Verona";"Citta` Antica";"CITTA' ANTICA";"CENTRO STORICO";"6 S. Fermo";"45.4379378165479";"10.9969447024587";
"7";"Sacra Famiglia";"9721-51";"VIA VIGASIO 51,
37135 Verona";"Genovesa - Gelmetto";"BORGO ROMA";"SUD";"7 Sacra Famiglia";"45.3893491987292";"10.9749959141902";
"8";"Dr. Bettini Umberto";"3326-71";"VIA MARIN FALIERO 71,
37138 Verona";"S. Procolo";"BORGO MILANO";"OVEST";"8 Dr. Bettini Umberto";"45.4522627677396";"10.9657931483365";
"9";"Martini di Fiocco Elena";"8959-9";"VIA STELLA 9,
37121 Verona";"Citta` Antica";"CITTA' ANTICA";"CENTRO STORICO";"9 Martini di Fiocco Elena";"45.4414306829583";"10.998361156289";
"10";"Due Campane";"4892-52";"VIA MAZZINI 52,
37121 Verona";"Citta` Antica";"CITTA' ANTICA";"CENTRO STORICO";"10 Due Campane";"45.4406890364502";"10.9947751753957";
"11";"S. Tomio";"4892-11";"VIA MAZZINI 11,
37121 Verona";"Citta` Antica";"CITTA' ANTICA";"CENTRO STORICO";"11 S. Tomio";"45.441765709934";"10.9969972984176";
"12";"Capri";"599-56";"VIA BASSONE 56,
37139 Verona";"Basson";"S. MASSIMO";"OVEST";"12 Capri";"45.4521345155576";"10.8992562757224";
"13";"Al Giglio Eredi";"6573-46";"CORSO PORTA BORSARI 46,
37121 Verona";"Citta` Antica";"CITTA' ANTICA";"CENTRO STORICO";"13 Al Giglio Eredi";"45.4421032402276";"10.9935669626928";
"14";"Centrale di Signorini";"3265-20";"PIAZZA DELLE ERBE 20,
37121 Verona";"Citta` Antica";"CITTA' ANTICA";"CENTRO STORICO";"14 Centrale di Signorini";"45.4431263087985";"10.9974489138272";
