"ID OGGETTO";"Street view";"DENOMINAZIONE EDIFICIO";"INDIRIZZO";"CAP";"TIPOLOGIA ATTIVITA' SPORTIVA";"OMOGENEA";"QUARTIERE";"CIRCOSCRIZIONE";"LATITUDINE";"LONGITUDINE";
"1";"https://goo.gl/maps/GZUYnLPQaAhXrf6B8";"Antistadio";"Piazzale Olimpia";"37138";"Calcio a 11, fitness";"Spiana'";"BORGO MILANO";"3 OVEST";"45.435006";"10.966231";
"10";"https://goo.gl/maps/Vm69EJNtcJw1RUhL7";"Centro polisportivo ""Circolo Primo Maggio""";"Via Lanificio, 60";"37141";"Calcio a 5, pallacanestro, tennis";"Montorio ? Centro";"MONTORIO";"8 NORD-EST";"45.457235";"11.067831";
"11";"https://goo.gl/maps/JrcMSW6ZrkZzJ1vR6";"Centro polisportivo ""Area Poggi""";"Via XXVIII Marzo, 10";"37133";"Calcio a 5, Beach volley, pattinaggio a rotelle artistico";"Porto San Pancrazio ? Centro";"PORTO SAN PANCRAZIO";"7 SUD-EST";"45.430386";"11.019815";
"12";"https://goo.gl/maps/a8JsrfJqeeofhf2m7";"Stadio Comunale ""M.Bentegodi""";"Piazzale Olimpia, 1";"37138";"Atletica leggera, calcio a 11, judo, karate, lotta, arti marziali, pattinaggio a rotelle artistico";"STADIO";"BORGO MILANO";"3 OVEST";"45.435239";"10.968617";
"13";"https://goo.gl/maps/zwjG7pMJfgXaeETj7";"Centro polisportivo ""A.Consolini""";"Via Ascari, 5";"37135";"Atletica leggera, calcio a 5, judo, lotta, karate, arti marziali, pallacanestro, pallavolo";"TOMBETTA";"BORGO ROMA";"5 SUD";"45.427965";"10.991222";
"14";"https://goo.gl/maps/o2PRF2VyzFj5nzyn9";"Centro polisportivo ""GAVAGNIN 1""";"Via Montorio, 112";"37131";"Calcio a 11, baseball, rugby";"Borgo Trieste";"BORGO VENEZIA";"6 EST";"45.446858";"11.034737";
"15";"https://goo.gl/maps/45m4EG55HQbu7ZAU7";"Centro polisportivo ""GAVAGNIN 2""";"Via Cornelio Nepote, 5";"37131";"Calcio a 5, calcio a 7-8, calcio a 11, atletica leggera, bocce, fitness, pallacanestro, pallavolo";"Borgo Trieste";"BORGO VENEZIA";"6 EST";"45.445279";"11.033557";
"16";"https://goo.gl/maps/945uWj98iVoPCpvx5";"Centro polisportivo ""Avesani""";"Via Santini, 72/A";"37124";"Atletica leggera, calcio a , hockey, beach volley, pattinaggio a rotelle artistico, pallacanestro, pallavolo, attivit� ginnico motoria";"Ponte Crencano Est";"Ponte Crencano";"2 NORD OVEST";"45.462028";"10.983595";
"17";"https://goo.gl/maps/g5KjMU9yM9KfaoSh9";"Palestra ?Zorzi? di Parona";"Via Giuseppe Riolfi, 11";"37124";"Calcio a 5, pallacanestro, pallavolo, attivit� ginnico motoria";"Parona";"PARONA";"2 NORD OVEST";"45.479278";"10.947427";
"18";"https://goo.gl/maps/sWg2AefKNQ1QYE2N8";"Complesso Sport. Ex Scuola Americana";"Lungadige Attiraglio, 48";"37124";"Pallacanestro, pallavolo, attivit� ginnico motoria";"Saval di Parona";"PARONA";"2 NORD OVEST";"45.461441";"10.952814";
"19";"https://goo.gl/maps/TbmJq1Cp64qfVzSL9";"Campo Sportivo Ex Tiberghien";"Via Cimitero, 26";"37132";"Calcio a 5, calcio a 7-8, calcio a 11";"San Michele ? centro";"SAN MICHELE";"7 SUD-EST";"45.437100";"11.041584";
"2";"https://goo.gl/maps/FddwkniV7kX2jw7Z7";"Centro Nuoto Belvedere";"Via Montelungo, 5";"37131";"Nuoto, pallanuoto, nuoto sincro, beach volley";"Borgo Trieste";"BORGO VENEZIA";"6 EST";"45.445536";"11.036444";
"20";"https://goo.gl/maps/vv6zbPxeRjrPpQbz8";"Campi Rugby Parco dell'Adige";"Via della Diga, 6";"37124";"Rugby, calcio a 11";"Saval di Parona";"PARONA";"2 NORD OVEST";"45.465506";"10.950514";
"21";"https://goo.gl/maps/jmRLW9Y3cmpFdXws5";"Palazzetto ""A.Masprone""";"Piazzale Olimpia, 3";"37138";"Tennis tavolo, ginnastica artistica";"Spiana'";"BORGO MILANO";"3 OVEST";"45.434208";"10.967433";
"22";"https://goo.gl/maps/hsRHMcqw8c23jDRH6";"Palazzo dello Sport";"Piazzale Atleti Azzurri Italia, 1";"37138";"Calcio a 5, danza sportiva, judo, lotta, karate, arti marziali, pallacanestro, pallavolo";"Spiana'";"BORGO MILANO";"3 OVEST";"45.437242";"10.964922";
"23";"https://goo.gl/maps/RLB9qayEoF2Mj9LW6";"Sinergy Stadium";"Via Sogare, 10";"37138";"Calcio a 11";"Spiana'";"BORGO MILANO";"3 OVEST";"45.435353";"10.962253";
"24";"https://goo.gl/maps/pquQajjDkGHc4Zam8";"Campo La Spiana'";"Via Sogare, 14/B";"37138";"baseball, softball";"Spiana'";"BORGO MILANO";"3 OVEST";"45.433416";"10.955446";
"25";"https://goo.gl/maps/GwHoisGHhuFcUinz8";"Palestra di Quinto";"Via Monte Recamao, 6";"37142";"Calcio a 5, pallacanestro, pallavolo";"Quinto ? centro";"QUINTO";"8 NORD-EST";"45.490629";"11.014617";
"26";"https://goo.gl/maps/f6Tv7NWjscyNSPJb9";"Centro polisportivo ""F.lli Cabianca""";"Via A. Fedeli, 37";"37132";"Bocce, calcio a 5, pallacanestro, pallavolo, pattinaggio a rotelle artistico";"Frugose";"SAN MICHELE";"7 SUD-EST";"45.434110";"11.050089";
"27";"https://goo.gl/maps/vF3yzY2EJHPhT24V9";"Campi Tennis Poiano";"Via A. Consolini, 2";"37142";"Tennis";"Poiano";"QUINTO";"8 NORD-EST";"45.469345";"11.018601";
"28";"https://goo.gl/maps/StLkyNwiqgXZgwi57";"Centro polisportivo ""E.Avanzi""";"Via Flavio Gioia, 3";"37135";"Bocce, calcio a 5, danza sportiva, pallacanestro, pallavolo";"Z.A.I. Borgo Roma";"BORGO ROMA";"5 SUD";"45.400803";"10.980502";
"29";"https://goo.gl/maps/Dk5RVSisZBzCyDRi6";"Tennis Quinzano";"Via B. Rizzoni, 8";"37125";"Tennis, calcio a 5";"Quinzano centro";"QUINZANO";"2 NORD OVEST";"45.467236";"10.976442";
"3";"https://goo.gl/maps/FdYSkBZDwjaoRJa39";"Piscina Santini";"Via Villa, 15";"37124";"Nuoto";"Ponte Crencano Est";"PONTE CRENCANO";"2 NORD OVEST";"45.463189";"10.980791";
"30";"https://goo.gl/maps/fTqSdnPbuti6oTJe8";"Centro sportivo Ascianghi ? Bersaglieri ? G.Dalla Via";"Via Colombo, 121";"37138";"Calcio a 11";"Borgo Milano ? centro";"BORGO MILANO";"3 OVEST";"45.447543";"10.977218";
"31";"https://goo.gl/maps/a2h7CFUtagLMZbJf7";"Campo Calcio Quinzano";"Via B. Rizzoni, 8";"37125";"Calcio a 11";"Quinzano centro";"QUINZANO";"2 NORD OVEST";"45.468025";"10.975876";
"32";"https://goo.gl/maps/eBGf3jgnim44KT5U9";"Campo da calcio ""L.Modena""";"Via V. Locchi, 33";"37124";"Calcio a 11";"Ponte Crencano ? est";"PONTE CRENCANO";"2 NORD OVEST";"45.460781";"10.980778";
"33";"https://goo.gl/maps/nhwBs5h9x5hwMLzeA";"Campo sportivo Parona";"Via della Diga, 8";"37124";"Calcio a 11";"Saval di Parona";"PARONA";"2 NORD OVEST";"45.465039";"10.948540";
"34";"https://goo.gl/maps/1mRghDjcigJP7A8F7";"Campo sportivo Avesa";"Strada del Casalino, 12";"37127";"Calcio a 5, calcio a 11";"Avesa - Centro";"AVESA";"2 NORD OVEST";"45.469308";"10.986183";
"35";"https://goo.gl/maps/G7cDkw1wsCiqi6dDA";"Campo da calcio ""Bertam�""";"Via Ca? dell'Albera.13";"37139";"Calcio a 11";"Basson";"SAN MASSIMO";"3 OVEST";"45.451182";"10.904362";
"36";"https://goo.gl/maps/76B1nsYDVP2FBLgY8";"Campo da calcio ""Benali e Bonomo""";"Via Brigata Aosta, 95C";"37139";"Calcio a 11, calcio a 5, pattinaggio a rotelle artistico";"San Massimo - Centro";"SAN MASSIMO";"3 OVEST";"45.434199";"10.941699";
"37";"https://goo.gl/maps/aUdhS6yFH7Voz8gN6";"Campo da calcio ""U. Busani""";"Via Don Sturzo, 16";"37138";"Calcio a 11";"Spiana'";"BORGO MILANO";"3 OVEST";"45.439094";"10.965807";
"38";"https://goo.gl/maps/W9EN2GibAs7fqtpF9";"Impianti sportivi via Davide Caprioli";"Via Davide Caprioli, 7";"37139";"Calcio a 11";"Chievo";"BORGO MILANO";"3 OVEST";"45.453617";"10.949864";
"39";"https://goo.gl/maps/edHyQj8ewFy9r1Jz7";"Campo da calcio Via Marin Faliero";"Via Marin Faliero, 90";"37138";"Calcio a 11, calcio a 5, calcio a 7/8";"San Procolo";"BORGO MILANO";"3 OVEST";"45.454505";"10.961171";
"4";"https://goo.gl/maps/qhVKf4d3JTEqgmak9";"Piscina Le Grazie";"Strada delle Grazie, 8";"37134";"Nuoto, fitness";"Polidore";"BORGO ROMA";"5 SUD";"45.400971";"10.996353";
"40";"https://goo.gl/maps/nyb6s4DDJQKMxwWu6";"Campo da calcio ""Manuel Fiorito""";"Via G. Zorzi, 21";"37138";"Calcio a 11, calcio a 5";"Borgo Nuovo";"BORGO MILANO";"3 OVEST";"45.443700";"10.957638";
"41";"https://goo.gl/maps/7vRYYdTYQt6xNXfeA";"Impianto sportivo ""Enrico Frassanito""";"Via Selinunte, 66";"37138";"Calcio a 11, calcio a 5";"Borgo Nuovo";"BORGO MILANO";"3 OVEST";"45.449933";"10.955716";
"42";"https://goo.gl/maps/dr9sbqeuQhAPYZYd8";"Campo da calcio ""Tino Guidotti""";"Via Fra? Giocondo";"37138";"Calcio a 11, calcio a 5, calcio a 7/8";"Spiana'";"BORGO MILANO";"3 OVEST";"45.432218";"10.964573";
"43";"https://goo.gl/maps/ngwAbr8TQrcCW88x6";"Palestra ""Fabio Maritati""";"Via A. Pigafetta, 17";"37138";"Judo, lotta, karate, arti marziali";"Borgo Milano ? centro";"BORGO MILANO";"3 OVEST";"45.445981";"10.970317";
"44";"https://goo.gl/maps/jhuYRTwL7qQ5Jjwo7";"Campo da calcio Via S. Elisabetta";"Via S. Elisabetta 7a";"37137";"Calcio a 11";"Santa Lucia";"SANTA LUCIA";"4 SUD - OVEST";"45.420744";"10.950317";
"45";"https://goo.gl/maps/ZP9yiKv1h3fHQJ6C6";"Polisportivo Europa";"Via Bisenzio, 9a";"36136";"Calcio a 11, calcio a 5, calcio a 7/8, rugby";"Golosine sud";"GOLOSINE";"4 SUD - OVEST";"45.414793";"10.957748";
"46";"https://goo.gl/maps/MzU8xEmQqkHuMJZU7";"Impianto Sportivo Golosine";"Via Po, 33";"37136";"Calcio a 11, calcio a 7/8";"Golosine nord";"GOLOSINE";"4 SUD - OVEST";"45.417280";"10.968316";
"47";"https://goo.gl/maps/ikNodVM5x6yaLEuF6";"Impianto Sport. Madonna di Dossobuono";"Via Santuario della salute, 18";"37137";"Bocce, pallacanestro, pallavolo";"Quadrante Nord est";"SANTA LUCIA";"4 SUD - OVEST";"45.406176";"10.932446";
"48";"https://goo.gl/maps/dAaWTmAjCNmdMuRs9";"Campo di Calcio""E. Avanzi""";"Via Flavio Gioia, 4";"37135";"Calcio a 11, calcio a 7";"Z.A.I. Borgo Roma";"BORGO ROMA";"5 SUD";"45.401636";"10.980695";
"49";"https://goo.gl/maps/3jdE9ya8RcEAwWZy9";"Campo da calcio ?E. Montresor?";"Via Cherso, 2";"37135";"Calcio a 11, calcio a 7/8";"Tomba";"BORGO ROMA";"5 SUD";"45.403460";"10.987685";
"5";"https://goo.gl/maps/J7s4kx3XghUFJCK1A";"Centro Castagnetti e Lido";"Via Galliano, 2/A";"37138";"Nuoto";"Stadio";"BORGO MILANO";"3 OVEST";"45.439453";"10.975620";
"50";"https://goo.gl/maps/zGattopj8p1sw6HAA";"Campo da calcio Borgo Primo Maggio";"Via Monterotondo 28";"37134";"Calcio a 11, calcio a 5, calcio a 7/8";"Primo Maggio";"BORGO ROMA";"5 SUD";"45.409746";"10.991799";
"51";"https://goo.gl/maps/3iRknJ4pCyvGdsjaA";"Campi calcio ?G.Biondani? e ""B.Meneghello""";"Via Lussemburgo, 14 - Via Belgio, 16a";"37135";"Calcio a 11, calcio a 7";"Z.A.I. Borgo Roma";"BORGO ROMA";"5 SUD";"45.412088";"10.968482";
"52";"https://goo.gl/maps/TFm9wRjVVyaJEYXu7";"Campo sportivo ""Sergio Sega""";"Via Domenico Turazza, 21e";"37135";"Calcio a 11, calcio a 5, calcio a 7";"Ca'di David centro";"CA'DI DAVID";"5 SUD";"45.386831";"10.998005";
"53";"https://goo.gl/maps/aciwQH9GQxdvqyeHA";"Campo da calcio ?Sacra Famiglia - A. Guglielmi?";"Via Selenia,107";"37135";"Calcio a 11, calcio a 5";"Genovesa Gelmetto";"BORGO ROMA";"5 SUD";"45.390114";"10.974504";
"54";"https://goo.gl/maps/ZjJQ9txH48cJ4Vcz6";"Campo da calcio ?Cristian Vicentini?";"Via Saturno, 10";"37135";"Calcio a 11";"Genovesa Gelmetto";"BORGO ROMA";"5 SUD";"45.388919";"10.973276";
"55";"https://goo.gl/maps/SwZvoy8sNhmEDW5CA";"Palestra ""Balilla Spartaco Vita"" (Ex Coni)";"Via P. Benedetti, 26b";"37135";"attivit� ginnico motoria, fitness";"Tomba";"BORGO ROMA";"5 SUD";"45.404162";"10.986351";
"56";"https://goo.gl/maps/bt4WPMVe21RAttBP8";"Campo da calcio ?C. Bortolameazzi?";"Via Montelungo";"37131";"Calcio a 11";"Borgo Trieste";"BORGO VENEZIA";"6 EST";"45.447901";"11.037195";
"57";"https://goo.gl/maps/M7v8c6qaAnniBdks7";"Campo da calcio ?F. Pernigo?";"Via Badile, 72";"37131";"Calcio a 11";"Borgo Venezia - centro";"BORGO VENEZIA";"6 EST";"45.441302";"11.028896";
"58";"https://goo.gl/maps/BrVKE3NZCY9PeZT57";"Campo da calcio Via Pergolesi";"Via Pergolesi, 4";"37131";"Calcio a 5 , calcio a 11";"Santa Croce";"BORGO VENEZIA";"6 EST";"45.448712";"11.024754";
"59";"https://goo.gl/maps/1P6Ho7Xe6uXXvnZT9";"Campo da calcio Via Belluzzo";"vai Belluzzo, 35";"37132";"Calcio a 11, a 5, calcio a 7/8";"Frugose";"SAN MICHELE";"7 SUD EST";"45.435324";"11.048974";
"6";"https://goo.gl/maps/A2S5HbzyrabQosLh8";"Piscina Monte Bianco";"Via Monte Bianco, 16/A";"37132";"Nuoto";"Madonna di campagna";"SAN MICHELE";"7 SUD-EST";"45.426876";"11.054992";
"60";"https://goo.gl/maps/u5UVnu3kxUmHko4X8";"Campo da calcio Via Asiago";"Via Asiago, 1";"37133";"Calcio a 5 , calcio a 11";"Porto San Pancrazio ? Centro";"PORTO SAN PANCRAZIO";"7 SUD EST";"45.433672";"11.023472";
"61";"https://goo.gl/maps/y7bL7s7g4yShBmrGA";"Campo da bocce Localit� Castiglione";"Via Sasse 10b";"37132";"Bocce, calcio a 5, pallavolo";"Casotti";"SAN MICHELE";"7 SUD EST";"45.414712";"11.052756";
"62";"https://goo.gl/maps/omn8bEHfqXVfnB349";"Campo da calcio di Montorio";"Via dei Cedri, 16";"37141";"Calcio a 11, calcio a 7/8";"Montorio centro";"MONTORIO";"8 NORD EST";"45.458929";"11.060659";
"63";"https://goo.gl/maps/Hy1ZgFrEqHndz5fk8";"Campo da calcio di Mizzole";"Via S. Eurosia, 18";"37141";"Calcio a 11";"Mizzole centro";"MIZZOLE";"8 NORD EST";"45.475950";"11.059073";
"64";"https://goo.gl/maps/zurpwoTvmnxBeHJ17";"Campo calcio Poiano ""L. Bellamoli""";"Via A. Consolini, 2";"37142";"Calcio a 11, calcio a 5, calcio a 7/8";"Poiano";"QUINTO";"8 NORD EST";"45.469855";"11.018928";
"65";"https://goo.gl/maps/VLKmEoyYzSHNYf6w9";"Centro Polisportivo di Quinto";"Via Leonardo da Quinto 25/A";"37142";"Calcio a 11, calcio a 5, pallacanestro, pallavolo, pattinaggio a rotelle artistico, tennis";"Quinto centro";"QUINTO";"8 NORD EST";"45.490947";"11.016991";
"66";"https://goo.gl/maps/Ak58YJaHEtk6ZRSQ8";"Campo da calcio di Marzana";"Piazza Lambranzi, 1/A";"37142";"Calcio a 11";"Quinto centro";"QUINTO";"8 NORD EST";"45.498940";"11.015132";
"67";"https://goo.gl/maps/HotLCVBBy4NmAe6R9";"Palestra Novaglie";"Piazzetta Tremante, 1";"37142";"Pallavolo";"Novaglie";"SAN MARIA IN STELLE";"8 NORD EST";"45.474945";"11.038873";
"7";"https://goo.gl/maps/mFFHkqiWWFYCL2nV7";"Piscina Golosine";"Via Tanaro, 28";"37136";"Nuoto";"Golosine sud";"GOLOSINE";"4 SUD-OVEST";"45.414521";"10.959847";
"8";"https://goo.gl/maps/N4SMobS5KLAFgRS98";"Centro polisportivo ""G. De Stefani""";"Via Gran Sasso, 1";"37132";"Calcio a 5";"Madonna di campagna";"SAN MICHELE";"7 SUD-EST";"45.426936";"11.052586";
"9";"https://goo.gl/maps/8KgzsVmWsXp7MxWE7";"Canoa Club Centro Bottagisio";"Via Perloso";"37139";"Canoa";"Chievo";"BORGO MILANO";"3 OVEST";"45.458354";"10.952110";
